visit_id,confirm_count,start_count,step_1_count,step_2_count,step_3_count,confirm_time,start_time,step_1_time,step_2_time,step_3_time,client_id,visitor_id,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth
39940676_92528989082_584554,0,1,0,0,0,0.0,10.0,0.0,0.0,0.0,359266,640778703_47672738570,8.0,106.0,23.0,M,2.0,55906.11,4.0,7.0
399444260_60573177859_502355,0,1,0,0,0,0.0,13.0,0.0,0.0,0.0,8986034,765337964_72080459592,15.0,181.0,58.0,M,2.0,30795.45,5.0,8.0
399564458_94645212971_533293,1,2,1,1,1,357.0,7.0,13.0,58.0,20.0,204212,705619107_77845041778,13.0,158.0,39.0,F,3.0,114666.86,6.0,9.0
399581469_96455506248_3265,0,2,1,1,1,0.0,1034.5,4.0,52.0,46.0,8881406,850833171_92167387462,6.0,83.0,27.5,U,2.0,51137.09,0.0,3.0
399593021_69433678861_968836,0,1,1,1,1,0.0,35.0,6.0,47.0,59.0,7433598,757908770_96614872945,6.0,74.0,32.5,U,2.0,43400.22,6.0,9.0
399667460_58309361796_121318,0,1,1,1,1,0.0,30.0,85.0,34.0,44.0,7620412,713363652_12560713133,24.0,288.0,52.5,M,2.0,102148.84,1.0,4.0
399673002_35185837177_649362,0,1,2,2,2,0.0,5.0,32.5,46.0,141.0,6463305,92326152_53043499601,9.0,108.0,26.5,U,2.0,58989.61,1.0,4.0
399735080_42699113794_393987,0,2,0,0,0,0.0,52.5,0.0,0.0,0.0,9244846,756295501_66351934538,23.0,280.0,64.0,F,2.0,73674.11,5.0,8.0
39973613_5134003025_794243,0,1,1,0,1,0.0,48.0,121.0,0.0,92.0,7234710,647855664_90960782381,11.0,142.0,41.5,F,2.0,28659.36,0.0,3.0
399739728_51070294906_617194,0,1,1,1,1,0.0,9.0,20.0,307.0,139.0,9309575,734145826_41272655095,26.0,318.0,58.0,F,2.0,41299.71,2.0,5.0
399788167_59732324457_905095,0,1,1,1,1,0.0,18.0,11.0,51.0,74.0,3843556,560538107_41606824808,6.0,77.0,68.5,F,2.0,26702.64,1.0,4.0
399834926_82155223990_355450,0,1,1,1,0,0.0,35.0,73.0,61.0,0.0,9716423,448045777_48581830097,30.0,360.0,60.0,M,4.0,615110.16,0.0,3.0
399848468_48378719228_7879,0,1,1,1,0,0.0,93.0,79.0,34.0,0.0,3833380,306186616_27853449480,15.0,183.0,52.0,F,2.0,23936.78,2.0,5.0
399887910_1517021836_976879,0,1,1,1,0,0.0,30.0,80.0,59.0,0.0,8802307,58687959_21223422144,18.0,227.0,77.0,F,2.0,74511.82,3.0,6.0
399891811_28864302484_526688,0,1,1,1,1,0.0,35.0,76.0,80.0,111.0,6146380,380610344_3288873539,12.0,147.0,54.5,F,2.0,40477.85,3.0,6.0
39991542_69054877350_446175,0,1,1,1,1,0.0,26.0,6.0,28.0,67.0,512721,391408606_46960548929,19.0,229.0,43.5,M,2.0,91564.22,2.0,5.0
399936130_22176799091_197459,0,1,2,1,0,0.0,73.0,28.5,3.0,0.0,764549,883451485_77572719265,6.0,74.0,35.0,U,3.0,37145.94,6.0,9.0
399944350_124642001_64396,0,1,1,1,1,0.0,37.0,6.0,176.0,124.0,3996290,865729416_52782141446,5.0,67.0,50.5,U,2.0,52905.35,1.0,4.0
399958301_77920012979_635992,0,1,0,0,0,0.0,14.0,0.0,0.0,0.0,756571,679795306_48450748944,6.0,83.0,25.0,U,2.0,51186.98,6.0,9.0
